Armor Type,Name,Cost in Crowns,Armor value
Helmet,Serpentine Cruz Headpiece,90,23
Leggings,Famed Pon Leggings,87,22
Leggings,Ursine Trousers,78,18
Helmet,Keeton Mask,77,24
Leggings,Wolven Shinguards,75,15
Leggings,Hansen's Breeches,69,17
Helmet,Feline Visor,68,16
Chest,Armor de Jandro,67,22
Chest,Chestpiece of Vachon,64,23
Boots,Diamond Boots,64,18
Leggings,Griffin Pants,62,11
Chest,Kaer Morhen Armor,62,21
Helmet,Ornate Helmet of Cagampan,60,16
Chest,Cured Leather Chestpiece,59,20
Leggings,Tanned Leg Protection,59,15
Chest,Smith's Plated Chestguard,58,10
Chest,Dented Plate Armor,57,19
Leggings,Manticore Braces,56,12
Chest,Jeweled Drake Tunic,55,19
Chest,Ginger's Gilded Armor,54,18
Helmet,Offner Protector,54,15
Leggings,Mail Emares Leggings,53,14
Boots,Steel Boots,52,14
Boots,Tate's Spiked Cleats,52,20
Chest,Garcia Guard,50,17
Helmet,Leather Helmet,49,13
Leggings,Woven Leggings,47,11
Helmet,Sligar's Noggin Protector,46,12
Leggings,Silken Pants,45,10
Helmet,Glass Bowl,44,12
Leggings,Tattered Shorts,42,13
Boots,Leather Lunde Shoes,35,7
Boots,Cloth Shoes,33,5